key_resp_4.keys,key_resp_4.rt,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,cont.keys,cont.rt,retry_testing.thisRepN,retry_testing.thisTrialN,retry_testing.thisN,retry_testing.thisIndex,retry_testing.ran,受試者編號,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,key_resp_3.keys,key_resp_3.rt,from,to,w,a,sequence_loop.thisN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,key_resp_2.keys,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,trial_loop.ran,sequence_loop.thisRepN,sequence_loop.thisTrialN,sequence_loop.thisIndex,sequence_loop.ran
return,2.9686,"[215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,213,212,220,231,241,242,271,331,397,433,455,465,466,466,459,455,454,450,447,422,405,395,386,383,383,383,383,383,383,383,381,378,372,365,361,360,360,360,360,360,361,363,363,363,364,364,364,364,364,364,363,354,330,239,193,101,34,22,15,10,10,9,-18,-56,-119,-181,-228,-231,-233,-233,-233,-233,-233,-233,-217,-176,-127,-95,-64,-58,-54,-53,-53,-53,-53,-53,-53,-53,-53,-53,-43,-32,42,92,111,112,112,101,78,58,31,27,18,14,11,10,10,10,10,10,10,10,10,10,9,8,8,8,8,8,7,-6,-34,-92,-174,-273,-416,-481,-505,-508,-506,-495,-480,-466,-454,-444,-438,-433,-415,-406,-379,-368,-364,-362,-362,-362,-362,-361,-361,-358,-358,-358,-358,-358,-358,-358,-358,-358,-358,-358,-357,-344,-295,-270,-175,-103,-41,2,24,32,34,35,35,35,35,35,35,27,12]","[-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-80,-77,-56,-38,-25,-20,-20,-20,-22,-22,-21,-18,-16,-16,-16,-16,-16,-16,-16,-16,-13,-13,-13,-13,-13,-13,-13,-13,-13,-13,-12,-9,-7,0,6,9,11,11,11,11,11,11,11,11,11,11,8,6,4,4,4,3,1,-2,-2,-2,7,28,44,63,84,104,131,200,270,354,434,514,525,533,533,533,533,533,533,512,474,439,421,403,400,397,396,396,396,396,396,396,396,396,396,386,378,342,325,319,318,318,322,329,335,341,343,346,348,349,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,347,331,306,262,202,124,7,-52,-81,-90,-94,-95,-93,-87,-79,-69,-63,-58,-44,-40,-23,-14,-8,-4,-2,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,0,-19,-80,-105,-188,-243,-281,-311,-329,-338,-341,-342,-342,-342,-342,-342,-342,-347,-355]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0.0019999999999988916,0.012000000000000455,0.01780000000004378,0.03500000000000014,0.05010000000009285,0.06700000000000017,0.08380000000004628,0.10180000000004696,0.11720000000018516,0.13449999999999918,0.15030000000004407,0.16740000000013922,0.1849000000001375,0.20170000000018362,0.21830000000004546,0.23330000000004603,0.2502000000001843,0.2671000000000916,0.28380000000004557,0.30010000000009285,0.31700000000000017,0.3338000000000463,0.35050000000000026,0.36690000000013967,0.383800000000047,0.40030000000004407,0.41830000000004475,0.43380000000004415,0.4504000000001369,0.46690000000013754,0.4853000000000449,0.5004999999999988,0.5169000000001382,0.5350000000000001,0.5519000000001384,0.566900000000139,0.5837000000001851,0.600400000000139,0.6169000000001397,0.6341000000000925,0.6513000000000453,0.6676000000000926,0.6852000000001865,0.7016000000000915,0.7174000000001399,0.7347000000001849,0.7511000000000934,0.7694000000001395,0.7859000000001402,0.8022000000001839,0.8204000000001379,0.8352000000001851,0.8511000000000912,0.8679000000001373,0.8847000000001835,0.9004999999999974,0.9183000000000447,0.9338000000000442,0.9533000000000449,0.9667000000001842,0.9846000000000927,1.000600000000091,1.019700000000185,1.0335,1.0529999999999973,1.0667000000001856,1.0839000000001384,1.1011000000000912,1.1179000000001373,1.1336000000000936,1.151100000000092,1.1681000000000914,1.1864000000001376,1.2044000000001382,1.220100000000091,1.236200000000185,1.2532000000001844,1.2694000000001395,1.2835,1.3007000000001838,1.317499999999999,1.3367000000001852,1.3532000000001858,1.3673000000000464,1.386800000000047,1.4036000000000932,1.416999999999998,1.4359000000001387,1.4502000000001836,1.4673000000000442,1.4852000000001837,1.5007000000001867,1.5181000000000928,1.5338000000000456,1.5504000000001383,1.568400000000139,1.5852000000001851,1.600300000000047,1.6179000000001373,1.6339000000001391,1.6519000000001398,1.668499999999998,1.6849999999999987,1.7004999999999981,1.7173000000000442,1.7346000000000927,1.7504000000001376,1.7684000000001383,1.7839000000001377,1.8003000000000462,1.816900000000139,1.8334999999999972,1.8502000000001857,1.8674000000001385,1.8847000000001835,1.9004999999999974,1.9175000000000004,1.934600000000092,1.950400000000137,1.9677000000001854,1.9849000000001382,2.0019000000001377,2.016700000000185,2.0335,2.050900000000137,2.0682000000001857,2.083600000000093,2.100400000000139,2.1181000000000907,2.134900000000137,2.1504999999999974,2.1688000000000436,2.185300000000044,2.2006000000000903,2.21740000000014,2.234700000000185,2.2523000000000444,2.268300000000046,2.2842000000001867,2.301499999999997,2.3173000000000457,2.3346000000000906,2.352300000000046,2.3688000000000464,2.384900000000137,2.3999000000001374,2.416900000000137,2.434700000000184,2.450400000000137,2.467100000000091,2.4836000000000915,2.5017000000001843,2.5172000000001837,2.5338000000000456,2.5518000000000463,2.566900000000139,2.583700000000185,2.600400000000139,2.617100000000093,2.6340000000000003,2.6513000000000453,2.667300000000047,2.6852000000001865,2.7016000000000915,2.7183000000000455,2.7352000000001837,2.7515,2.7684000000001383,2.784100000000091,2.8009999999999984,2.81790000000014,2.8341000000000918,2.8516000000000936,2.8682000000001864,2.8846000000000913,2.9004000000001398,2.9176000000000926,2.9345,2.950499999999998,2.9684000000001376,2.985400000000137,3.0009999999999977,3.0184999999999995,3.0352000000001844,3.050300000000046,3.066900000000139,3.085100000000093,3.1022000000001846,3.1189999999999998,3.134900000000137,3.1514000000001374,3.16710000000009,3.1837000000001865,3.200499999999998,3.2168000000000454,3.2336000000000915,3.2518000000000455,3.2672000000001837,3.2837000000001844,3.300900000000137,3.3187000000001845,3.335200000000185,3.3507000000001845,3.367100000000093,3.3846000000000913,3.4016000000000908,3.4183000000000447,3.4339999999999975,3.4511000000000926,3.468100000000092,3.4841000000000903,3.501999999999999,3.5172000000001837,3.53440000000014,3.551600000000093,3.566900000000139,3.5849999999999973,3.6006000000000924]",return,2.4028,0,0,0,0,1,PAV-0015,2022-11-01_16h31.55.119,GoFitts,2022.1.4,Win32,59.99160118,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PAV-0015,2022-11-01_16h31.55.119,GoFitts,2022.1.4,Win32,59.99160118,return,1.1458,return,1.4847,"[37,-270]","[-122.26845009172571,25.988961352219913]",71.5,250,0,"[37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,36,36,29,19,14,12,7,-8,-27,-52,-58,-61,-67,-71,-75,-75,-78,-81,-86,-86,-86,-86,-89,-98,-100,-105]","[-270,-270,-270,-270,-270,-270,-270,-270,-270,-270,-270,-270,-270,-270,-270,-270,-269,-269,-247,-219,-190,-161,-134,-114,-95,-80,-78,-77,-76,-76,-76,-76,-73,-66,-49,-43,-28,-23,-12,-4,-2,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0.0012000000001819444,0.0167000000001849,0.03249999999999886,0.04899999999999949,0.06590000000014129,0.08240000000014192,0.10000000000000142,0.11660000000009063,0.13240000000013907,0.14980000000004878,0.1657000000001858,0.18230000000004765,0.19910000000009376,0.21570000000018297,0.2325000000000017,0.24910000000009092,0.2672000000001873,0.28270000000018314,0.29960000000009046,0.31720000000018445,0.3328000000000486,0.3506000000000924,0.3673000000000428,0.38260000000008887,0.3994999999999962,0.4171000000000902,0.4338000000000477,0.44890000000013686,0.46570000000018297,0.48390000000014055,0.5004999999999953,0.5158000000000484,0.53290000000014,0.5506000000000952,0.5676000000000911,0.5837000000001851,0.6009000000001379,0.6154999999999973,0.6322000000001822,0.6501000000000943,0.6674000000001357,0.6826000000000931]",,0,0,0,0,1,,,,
,,,,,,,,,,,,,,,PAV-0015,2022-11-01_16h31.55.119,GoFitts,2022.1.4,Win32,59.99160118,,,,,"[-122.26845009172571,25.988961352219913]","[125,0]",71.5,250,0,"[-105,-109,-112,-116,-118,-122,-123,-125,-126,-126,-126,-124,-123,-121,-118,-112,-105,-98,-93,-84,-52,-39,-5,14,31,42,53,64,71,76,80,82,90,92]","[0,0,0,0,0,3,3,7,9,10,12,13,14,15,16,17,17,18,19,19,19,19,16,12,11,10,10,10,10,10,9,9,8,8]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0.00030000000005259153,0.0173000000000485,0.03319999999995815,0.05069999999995645,0.06769999999995946,0.08419999999996008,0.09910000000009944,0.11630000000005225,0.13400000000000034,0.1493999999999076,0.16619999999995372,0.1838000000000477,0.19969999999995736,0.21719999999995565,0.23430000000004725,0.25130000000005026,0.2673000000000485,0.28389999999991034,0.2993000000000521,0.3163999999999092,0.3338000000000534,0.34919999999995355,0.36619999999995656,0.38389999999991176,0.3996999999999602,0.417500000000004,0.43339999999991363,0.45030000000004833,0.4663999999999078,0.4838999999999132,0.5013999999999115,0.516399999999912,0.5335000000000036,0.5491000000000952]",,1,0,1,0,1,,,,
,,,,,,,,,,,,,,,PAV-0015,2022-11-01_16h31.55.119,GoFitts,2022.1.4,Win32,59.99160118,,,,,"[125,0]","[-122.26845009172571,-25.98896135221988]",71.5,250,0,"[92,93,93,94,102,108,113,116,119,123,124,124,124,124,120,114,101,81,56,20,-25,-47,-59,-63,-63,-64,-64,-65,-66,-68,-70,-72,-73,-74,-79,-80,-85,-88,-90,-91]","[8,8,8,8,7,5,5,4,3,2,1,1,1,1,0,0,-8,-19,-31,-48,-59,-61,-61,-60,-60,-57,-56,-55,-54,-52,-49,-46,-45,-44,-43,-43,-43,-42,-42,-42]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0.0003999999999066972,0.017499999999998295,0.03310000000009694,0.05150000000000432,0.06630000000004799,0.08489999999990516,0.10030000000004691,0.11769999999995662,0.13389999999991176,0.15069999999995787,0.1668000000000447,0.18319999999995673,0.2010000000000005,0.21680000000004895,0.23380000000004486,0.2510000000000048,0.26610000000009393,0.28350000000000364,0.30100000000000193,0.3168999999999116,0.33460000000009416,0.35160000000009717,0.3678000000000452,0.38319999999995247,0.40010000000009427,0.417500000000004,0.4350000000000023,0.4516999999999527,0.46669999999995326,0.48419999999995156,0.5001999999999569,0.5168999999999073,0.5339999999999989,0.5500000000000043,0.5673999999999069,0.5836999999999577,0.6008000000000493,0.616500000000002,0.6345000000000027,0.6501000000000943]",,2,0,2,0,1,,,,
,,,,,,,,,,,,,,,PAV-0015,2022-11-01_16h31.55.119,GoFitts,2022.1.4,Win32,59.99160118,,,,,"[-122.26845009172571,-25.98896135221988]","[114.19318220532512,50.84208038447502]",71.5,250,0,"[-91,-91,-92,-93,-94,-95,-95,-95,-95,-95,-102,-110,-118,-118,-116,-98,-76,-41,1,45,88]","[-42,-42,-42,-42,-42,-41,-41,-41,-41,-41,-36,-32,-27,-26,-25,-23,-15,-5,9,24,42]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0.0006999999999521833,0.01719999999995281,0.033199999999951046,0.05019999999995406,0.06739999999990687,0.08250000000000313,0.10050000000000381,0.11599999999999966,0.13280000000004577,0.1493999999999076,0.1673999999999083,0.1844999999999999,0.19910000000009376,0.21650000000000347,0.2328999999999084,0.25099999999999767,0.26610000000009393,0.28300000000000125,0.30010000000009285,0.3163999999999092,0.3336000000000965]",,3,0,3,0,1,,,,
,,,,,,,,,,,,,,,PAV-0015,2022-11-01_16h31.55.119,GoFitts,2022.1.4,Win32,59.99160118,,,,,"[114.19318220532512,50.84208038447502]","[-101.12712429686843,-73.47315653655913]",71.5,250,0,"[88,101,106,107,111,114,118,120,121,121,121,121,121,121,116,112,105,95,87,72,53,18,-34,-113]","[42,50,53,54,56,58,60,61,62,62,62,62,62,62,62,61,60,58,52,37,18,-9,-44,-88]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0.0006000000000909722,0.0173000000000485,0.03160000000008978,0.049400000000140665,0.06550000000000011,0.08370000000018507,0.10010000000009,0.11580000000004986,0.13230000000004338,0.1490000000000009,0.16540000000014032,0.18190000000014095,0.19899999999999807,0.21540000000013748,0.23370000000018365,0.25,0.26470000000018956,0.2820000000000036,0.30030000000004975,0.31710000000009586,0.33190000000013953,0.3502000000001857,0.36540000000014317,0.38320000000018695]",,4,0,4,0,1,,,,
,,,,,,,,,,,,,,,PAV-0015,2022-11-01_16h31.55.119,GoFitts,2022.1.4,Win32,59.99160118,,,,,"[-101.12712429686843,-73.47315653655913]","[83.64132579485728,92.89310318467427]",71.5,250,0,"[-113,-155,-181,-189,-190,-190,-190,-187,-186,-181,-159,-137,-126,-99,-90,-79,-73,-66,-58,-50,-37,-21,-6,15,26,30,41,48,51]","[-88,-109,-119,-122,-122,-122,-122,-121,-121,-120,-112,-102,-96,-82,-75,-67,-60,-50,-37,-22,-6,10,24,44,52,59,78,84,88]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0.0003000000000454861,0.01680000000004611,0.03180000000004668,0.04970000000018615,0.06510000000009342,0.083300000000051,0.09799999999999898,0.11490000000014078,0.1318000000000481,0.14990000000014447,0.1666000000000949,0.18330000000004532,0.19820000000019178,0.21610000000009677,0.23180000000004952,0.2494000000001435,0.26510000000009626,0.28350000000000364,0.30060000000009524,0.3168000000000504,0.333300000000051,0.34880000000004685,0.36680000000004753,0.38370000000018933,0.3999000000001445,0.41490000000014504,0.43299999999999983,0.4485000000000028,0.46620000000018536]",,5,0,5,0,1,,,,
,,,,,,,,,,,,,,,PAV-0015,2022-11-01_16h31.55.119,GoFitts,2022.1.4,Win32,59.99160118,,,,,"[83.64132579485728,92.89310318467427]","[-62.50000000000006,-108.25317547305481]",71.5,250,0,"[51,53,53,53,53,53,53,53,53,53,53,53,53,53,44,31,22,13,0,-17,-48,-59,-91,-102,-109,-114,-114,-114,-114,-114,-114,-113,-110,-106,-89]","[88,89,89,89,89,89,89,89,89,89,89,89,89,89,89,87,86,83,71,51,12,-4,-62,-100,-130,-153,-166,-173,-175,-176,-176,-176,-164,-156,-131]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0.00019999999995690132,0.017000000000003013,0.03139999999991261,0.04800000000000182,0.06689999999991159,0.08180000000005094,0.09960000000009472,0.11510000000009768,0.13310000000009836,0.15039999999991238,0.16500000000000625,0.18160000000009546,0.198300000000053,0.2150000000000034,0.23200000000000642,0.2498000000000502,0.2666999999999575,0.2820000000000036,0.2996999999999588,0.315699999999957,0.3330000000000055,0.34850000000000136,0.36669999999995895,0.38310000000009836,0.39839999999990994,0.4165000000000063,0.4318999999999136,0.4481999999999573,0.4653999999999101,0.4833999999999108,0.4998999999999114,0.5171999999999599,0.5333000000000467,0.5483000000000473,0.5653000000000503]",,6,0,6,0,1,,,,
,,,,,,,,,,,,,,,PAV-0015,2022-11-01_16h31.55.119,GoFitts,2022.1.4,Win32,59.99160118,,,,,"[-62.50000000000006,-108.25317547305481]","[38.62712429686843,118.88206453689419]",71.5,250,0,"[-89,-72,-51,-34,-27,-25,-25,-25,-25,-25,-26,-29,-32,-37,-40,-40,-41,-40,-28,-13,4,32]","[-131,-111,-85,-63,-50,-45,-44,-44,-44,-44,-44,-44,-47,-54,-56,-56,-46,-18,18,51,77,134]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0.000299999999811007,0.017899999999904992,0.03450000000000131,0.04919999999995639,0.06629999999981351,0.08469999999995537,0.09929999999981476,0.11609999999986087,0.13289999999990698,0.1495000000000033,0.16619999999995372,0.1839999999999975,0.19959999999986167,0.21639999999990778,0.23409999999986297,0.25219999999995224,0.2676999999999552,0.282799999999817,0.30129999999981294,0.3161999999999523,0.3340999999998573,0.3515000000000015]",,7,0,7,0,1,,,,
,,,,,,,,,,,,,,,PAV-0015,2022-11-01_16h31.55.119,GoFitts,2022.1.4,Win32,59.99160118,,,,,"[38.62712429686843,118.88206453689419]","[-13.066057908456779,-124.31523692103416]",71.5,250,0,"[32,44,57,62,64,64,64,64,64,64,64,62,59,46,41,27,18,14,12,10,6,4,2,-6,-9,-20,-31]","[134,166,190,204,209,210,210,210,210,210,210,210,203,179,169,136,114,95,80,62,43,16,-12,-52,-64,-87,-113]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0.0004000000001411763,0.01620000000018962,0.03080000000004901,0.04790000000014061,0.0658000000000456,0.08120000000018734,0.09760000000009228,0.11570000000018865,0.13270000000018456,0.14750000000000085,0.16410000000009717,0.18220000000018644,0.1977000000001894,0.21570000000019007,0.23100000000000165,0.24750000000000227,0.26599999999999824,0.28249999999999886,0.2976000000000951,0.31420000000019144,0.33110000000009165,0.34949999999999903,0.36620000000019104,0.382600000000096,0.39750000000000085,0.41470000000018814,0.4327000000001888]",,8,0,8,0,1,,,,
