key_resp.keys,key_resp.rt,key_resp_3.keys,key_resp_3.rt,from,to,w,a,sequence_loop.thisN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,key_resp_2.keys,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,trial_loop.ran,受試者ID,date,expName,psychopyVersion,OS,frameRate,sequence_loop.thisRepN,sequence_loop.thisTrialN,sequence_loop.thisIndex,sequence_loop.ran
return,1.3852,return,0.9581,"[203.66668701171875,-139.5555419921875]","[108.73372353331446,120.76103414007656]",60.5,325,0,"[203.66668701171875,203.66668701171875,203.66668701171875,203.66668701171875,203.66668701171875,203.66668701171875,203.66668701171875,203.66668701171875,203.66668701171875,203.66668701171875,203.66668701171875,203.66668701171875,203.66668701171875,203.66668701171875,203.66668701171875,203.66668701171875,203.66668701171875,203.66668701171875,203.66668701171875,203.66668701171875,203.66668701171875,203.66668701171875,203.66668701171875,203.66668701171875,203.66668701171875,203.66668701171875,203.66668701171875,203.66668701171875,203.66668701171875,196.5555419921875,170.77783203125,153.888916015625,153.888916015625,146.77777099609375,135.2222900390625]","[-139.5555419921875,-139.5555419921875,-139.5555419921875,-139.5555419921875,-139.5555419921875,-139.5555419921875,-139.5555419921875,-139.5555419921875,-139.5555419921875,-139.5555419921875,-139.5555419921875,-139.5555419921875,-139.5555419921875,-139.5555419921875,-139.5555419921875,-139.5555419921875,-139.5555419921875,-139.5555419921875,-139.5555419921875,-139.5555419921875,-139.5555419921875,-139.5555419921875,-139.5555419921875,-139.5555419921875,-139.5555419921875,-139.5555419921875,-139.5555419921875,-139.5555419921875,-139.5555419921875,-127.11114501953125,-56,13.333343505859375,72.88888549804688,88.88888549804688,106.66665649414062]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0.004099999999628068,0.03569999999925422,0.046800000000745356,0.06340000000037271,0.07990000000037334,0.09659999999962743,0.11390000000037226,0.13000000000000078,0.14719999999925548,0.163099999999627,0.17980000000074448,0.19650000000000034,0.2140000000000004,0.22969999999925506,0.24649999999999928,0.2629999999999999,0.27969999999925577,0.29630000000074475,0.3130000000000006,0.32959999999962797,0.3469000000003728,0.3629000000003728,0.37950000000000017,0.39740000000037234,0.413099999999627,0.4294000000003724,0.44609999999962824,0.4626999999992556,0.4793000000007446,0.4985999999996267,0.5156999999992546,0.5305999999996267,0.5473000000007442,0.5639000000003733,0.5805000000000007]",,0,0,0,0,1,,2022-09-22_21h53.41.858,GoFitts,2022.1.4,Win32,59.64451867,,,,
,,,,"[108.73372353331446,120.76103414007656]","[-81.25000000000007,-140.72912811497125]",60.5,325,0,"[135.2222900390625,124.5555419921875,120.11114501953125,115.66668701171875,112.11114501953125,109.4444580078125,103.22222900390625,95.2222900390625,88.11114501953125,85.4444580078125,85.4444580078125,85.4444580078125,85.4444580078125,85.4444580078125,85.4444580078125,85.4444580078125,85.4444580078125,85.4444580078125,85.4444580078125,85.4444580078125,82.77777099609375,81,73.888916015625,61.4444580078125,33.00006103515625,-6.111083984375,-44.33331298828125,-71,-89.66668701171875]","[106.66665649414062,121.77777099609375,128,135.11111450195312,140.44442749023438,144.88888549804688,152.88888549804688,161.77777099609375,169.77777099609375,171.55555725097656,172.44444274902344,172.44444274902344,172.44444274902344,172.44444274902344,172.44444274902344,172.44444274902344,172.44444274902344,172.44444274902344,172.44444274902344,171.55555725097656,162.6666717529297,152.88888549804688,132.44442749023438,103.11111450195312,58.666656494140625,6.22222900390625,-48,-93.33334350585938,-120]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0.0011999999992546861,0.014199999999254587,0.031299999998882555,0.046699999999255226,0.06329999999888258,0.08119999999925476,0.09800000000000075,0.11350000000000016,0.13029999999888275,0.14729999999888221,0.16300000000000026,0.1787999999988834,0.1955000000000009,0.21209999999962825,0.2297999999988818,0.2454000000003731,0.2620999999996272,0.2790999999996284,0.29540000000037203,0.3129000000003721,0.33000000000000007,0.3469000000003728,0.36299999999999955,0.38109999999962696,0.39609999999962753,0.4129000000003735,0.43090000000037243,0.44690000000037244,0.46369999999925504]",,1,0,1,0,1,,2022-09-22_21h53.41.858,GoFitts,2022.1.4,Win32,59.64451867,,,,
,,,,"[-81.25000000000007,-140.72912811497125]","[50.215261585928964,154.54668389796245]",60.5,325,0,"[-89.66668701171875,-106.5555419921875,-119,-121.66668701171875,-122.55548095703125,-123.4444580078125,-123.4444580078125,-123.4444580078125,-124.33331298828125,-124.33331298828125,-125.22222900390625,-125.22222900390625,-126.111083984375,-126.99993896484375,-126.99993896484375,-126.99993896484375,-126.99993896484375,-126.99993896484375,-126.99993896484375,-126.99993896484375,-126.111083984375,-117.22222900390625,-102.111083984375,-77.22222900390625,-49.66668701171875,-31,-15.88885498046875,-6.99993896484375,-1.66668701171875,4.5555419921875,7.22222900390625,11.66668701171875,17,20.5555419921875,25.888916015625,33.00006103515625,38.33331298828125]","[-120,-137.77777099609375,-149.33331298828125,-154.66668701171875,-156.4444580078125,-156.4444580078125,-157.33331298828125,-158.22222900390625,-159.11114501953125,-160,-160.888916015625,-161.77777099609375,-163.5555419921875,-168.888916015625,-171.5555419921875,-173.33331298828125,-173.33331298828125,-173.33331298828125,-173.33331298828125,-173.33331298828125,-166.22222900390625,-140.4444580078125,-100.4444580078125,-50.666656494140625,-8,17.77777099609375,39.111083984375,54.22222900390625,64,71.11111450195312,79.111083984375,85.33334350585938,95.11111450195312,100.44442749023438,109.33334350585938,122.66665649414062,132.44442749023438]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0.0008000000007442054,0.015300000000744163,0.03200000000000003,0.04819999999925528,0.06509999999962801,0.08119999999925476,0.09819999999925422,0.11530000000074558,0.13119999999925547,0.14790000000037296,0.16499999999999915,0.1811999999992544,0.19780000000074516,0.21619999999925454,0.2324000000003732,0.24769999999925574,0.2635000000000005,0.2801999999992546,0.29680000000074536,0.3145999999996274,0.33159999999962686,0.3476999999992554,0.3654000000003723,0.3809000000003717,0.39780000000074445,0.41559999999962827,0.43099999999999916,0.4480000000000004,0.4660999999996278,0.4824000000003732,0.49940000000037266,0.5166999999992541,0.5315999999996279,0.5486999999992541,0.5656999999992554,0.5814000000003716,0.5990000000000002]",,2,0,2,0,1,,2022-09-22_21h53.41.858,GoFitts,2022.1.4,Win32,59.64451867,,,,
,,,,"[50.215261585928964,154.54668389796245]","[-16.985875280993813,-161.6098079973444]",60.5,325,0,"[38.33331298828125,39.22222900390625,40.11114501953125,41,42.77777099609375,43.66668701171875,44.5555419921875,44.5555419921875,44.5555419921875,44.5555419921875,44.5555419921875,44.5555419921875,44.5555419921875,45.4444580078125,45.4444580078125,42.77777099609375,36.5555419921875,28.55560302734375,20.5555419921875,13.4444580078125,9,4.5555419921875,1.88897705078125,-1.66668701171875,-2.55548095703125,-3.4444580078125,-5.22222900390625,-6.111083984375,-6.99993896484375,-7.88885498046875,-8.77777099609375,-8.77777099609375]","[132.44442749023438,136,136.88888549804688,139.5555419921875,142.22222900390625,145.77777099609375,148.44444274902344,150.2222137451172,150.2222137451172,150.2222137451172,150.2222137451172,150.2222137451172,150.2222137451172,149.3333282470703,139.5555419921875,118.22222900390625,89.77777099609375,55.111114501953125,25.777740478515625,-3.555572509765625,-28.4444580078125,-46.22222900390625,-58.666656494140625,-69.33334350585938,-80,-88.88888549804688,-98.66665649414062,-104.88888549804688,-112,-120,-129.77777099609375,-133.33331298828125]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0.0010999999996279541,0.015000000000000568,0.03090000000037385,0.05050000000000132,0.06529999999888325,0.0810000000000013,0.09729999999888328,0.1140999999996275,0.1292999999988833,0.14590000000037406,0.1640999999996282,0.17929999999888224,0.19579999999888287,0.21390000000037368,0.23059999999962777,0.2475000000000005,0.26459999999962847,0.2805999999996285,0.29729999999888257,0.31529999999888325,0.32990000000037334,0.34679999999888267,0.3632999999988833,0.380199999999256,0.39700000000000024,0.4131999999992555,0.43150000000000155,0.44829999999888237,0.46579999999888244,0.48309999999962905,0.4984000000003732,0.5150000000000006]",,3,0,3,0,1,,2022-09-22_21h53.41.858,GoFitts,2022.1.4,Win32,59.64451867,,,,
,,,,"[-16.985875280993813,-161.6098079973444]","[-16.985875280993668,161.60980799734443]",60.5,325,0,"[-8.77777099609375,-9.66668701171875,-9.66668701171875,-10.5555419921875,-10.5555419921875,-10.5555419921875,-10.5555419921875,-10.5555419921875,-10.5555419921875,-10.5555419921875,-10.5555419921875,-10.5555419921875,-10.5555419921875,-12.33331298828125,-12.33331298828125,-12.33331298828125,-12.33331298828125,-12.33331298828125,-12.33331298828125,-15.88885498046875,-16.77777099609375,-16.77777099609375,-18.5555419921875,-18.5555419921875,-18.5555419921875,-18.5555419921875,-18.5555419921875,-18.5555419921875,-18.5555419921875]","[-133.33331298828125,-139.5555419921875,-141.33331298828125,-144,-145.77777099609375,-145.77777099609375,-145.77777099609375,-145.77777099609375,-145.77777099609375,-145.77777099609375,-145.77777099609375,-145.77777099609375,-145.77777099609375,-142.22222900390625,-122.66668701171875,-96,-67.55557250976562,-29.333343505859375,6.22222900390625,46.22222900390625,69.33334350585938,82.66665649414062,87.11111450195312,93.33334350585938,101.33331298828125,108.44442749023438,117.33334350585938,128.88888549804688,144.88888549804688]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0.0007999999988825834,0.020099999999626306,0.03290000000037274,0.04979999999888207,0.06590000000037222,0.09909999999962693,0.10169999999925494,0.11519999999925368,0.13190000000037294,0.14859999999962703,0.16549999999999976,0.18179999999888175,0.19809999999962713,0.2154999999999987,0.2322999999988813,0.24919999999925402,0.26559999999962614,0.28240000000037213,0.3002999999988827,0.3165999999996263,0.3322999999988827,0.34929999999888217,0.36599999999999966,0.382599999999627,0.39990000000037185,0.4155999999996265,0.43219999999925385,0.44890000000037134,0.46699999999999875]",,4,0,4,0,1,,2022-09-22_21h53.41.858,GoFitts,2022.1.4,Win32,59.64451867,,,,
,,,,"[-16.985875280993668,161.60980799734443]","[50.21526158592892,-154.54668389796245]",60.5,325,0,"[-18.5555419921875,-18.5555419921875,-17.66668701171875,-15.88885498046875,-15.88885498046875,-15.88885498046875,-15.88885498046875,-15.88885498046875,-15.88885498046875,-15.88885498046875,-15.88885498046875,-14.111083984375,-14.111083984375,-14.111083984375,-12.33331298828125,-9.66668701171875,-5.22222900390625,-1.66668701171875,1.88897705078125,3.66668701171875,5.4444580078125,6.3333740234375,11.66668701171875,14.33331298828125,16.11114501953125,17,17.888916015625,18.77777099609375,18.77777099609375,19.66680908203125,20.5555419921875,22.33331298828125,23.22222900390625,24.11114501953125]","[144.88888549804688,161.77777099609375,177.77777099609375,186.6666717529297,187.55555725097656,187.55555725097656,187.55555725097656,187.55555725097656,187.55555725097656,187.55555725097656,183.11111450195312,164.44444274902344,128.88888549804688,88.88888549804688,49.77777099609375,16.88885498046875,-9.777801513671875,-31.111114501953125,-47.111114501953125,-56.888885498046875,-63.111114501953125,-70.22222900390625,-80.88888549804688,-87.11111450195312,-92.4444580078125,-99.55557250976562,-104.88888549804688,-108.4444580078125,-111.11111450195312,-113.77777099609375,-119.11114501953125,-126.22222900390625,-135.11114501953125,-143.11114501953125]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0.0009999999999994458,0.01520000000111743,0.033300000000744845,0.04770000000111807,0.06570000000111698,0.08080000000074428,0.0969000000003728,0.11340000000037165,0.13040000000037288,0.14709999999962697,0.1640999999996282,0.18099999999999916,0.19730000000074455,0.2140000000000004,0.23159999999962722,0.24849999999999994,0.26480000000074533,0.28080000000074534,0.29759999999962794,0.3140999999996268,0.33209999999962747,0.347700000001117,0.36440000000037287,0.3810000000000002,0.39740000000037234,0.4140999999996282,0.4308000000007457,0.4470999999996277,0.4685000000000006,0.48059999999962777,0.4969999999999999,0.5135000000000005,0.530200000001118,0.5469000000003721]",,5,0,5,0,1,,2022-09-22_21h53.41.858,GoFitts,2022.1.4,Win32,59.64451867,,,,
,,,,"[50.21526158592892,-154.54668389796245]","[-81.24999999999996,140.7291281149713]",60.5,325,0,"[24.11114501953125,26.77777099609375,27.66668701171875,27.66668701171875,27.66668701171875,28.55560302734375,30.33331298828125,31.22222900390625,33.888916015625,34.77777099609375,35.66668701171875,35.66668701171875,33.00006103515625,28.55560302734375,16.11114501953125,-0.77777099609375,-24.7777099609375,-43.4444580078125,-54.111083984375,-57.66668701171875,-58.5555419921875,-60.33319091796875,-62.111083984375,-63,-63,-63.88885498046875,-63.88885498046875,-63.88885498046875]","[-143.11114501953125,-151.11114501953125,-154.66668701171875,-154.66668701171875,-154.66668701171875,-155.5555419921875,-155.5555419921875,-155.5555419921875,-155.5555419921875,-154.66668701171875,-145.77777099609375,-115.5555419921875,-81.77777099609375,-50.666656494140625,-17.77777099609375,10.666656494140625,39.111083984375,62.22222900390625,75.5555419921875,81.77777099609375,85.33334350585938,93.33334350585938,101.33331298828125,104,105.77774047851562,110.22219848632812,113.77777099609375,117.33334350585938]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0.0003000000007453707,0.015800000000744774,0.03209999999962676,0.048400000000372145,0.06450000000000067,0.08240000000037284,0.09870000000111823,0.11540000000037232,0.13220000000111654,0.1484000000003718,0.16520000000111779,0.18190000000037188,0.19870000000111787,0.21530000000074523,0.23170000000111735,0.2484000000003732,0.26540000000037267,0.28250000000000064,0.2987000000011175,0.3155000000000001,0.33209999999962747,0.3485999999996281,0.3652000000011171,0.38190000000037294,0.39830000000074506,0.41509999999962766,0.4314999999999998,0.44820000000111726]",,6,0,6,0,1,,2022-09-22_21h53.41.858,GoFitts,2022.1.4,Win32,59.64451867,,,,
,,,,"[-81.24999999999996,140.7291281149713]","[108.7337235333145,-120.76103414007653]",60.5,325,0,"[-63.88885498046875,-63.88885498046875,-63.88885498046875,-63.88885498046875,-63.88885498046875,-63.88885498046875,-63.88885498046875,-63.88885498046875,-63.88885498046875,-63.88885498046875,-63.88885498046875,-63.88885498046875,-63.88885498046875,-63.88885498046875,-62.111083984375,-52.33331298828125,-33.6666259765625,-11.44439697265625,11.66668701171875,32.11114501953125,47.22222900390625,58.77777099609375,70.33331298828125,76.5555419921875,81.88897705078125,83.66668701171875,89.888916015625]","[117.33334350585938,119.11111450195312,119.11111450195312,119.11111450195312,120.88888549804688,124.44442749023438,130.66665649414062,134.22222900390625,135.11111450195312,136,136,136,136,136,134.22222900390625,123.5555419921875,99.5555419921875,69.33334350585938,32,1.77777099609375,-20.4444580078125,-38.22222900390625,-55.111114501953125,-68.4444580078125,-77.33334350585938,-83.55557250976562,-103.11111450195312]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0.0015999999996285652,0.0171999999992547,0.03259999999962737,0.048400000000372145,0.06590000000037222,0.08240000000037284,0.09890000000037347,0.11599999999999966,0.13269999999925552,0.14909999999962764,0.16559999999962827,0.18200000000000038,0.19819999999925564,0.21529999999888183,0.23249999999999993,0.2490999999996273,0.266,0.2827999999988826,0.299099999999628,0.3155999999996286,0.332199999999256,0.34890000000037347,0.3655000000000008,0.3822999999988834,0.3992999999988829,0.415699999999255,0.4324000000003725]",,7,0,7,0,1,,2022-09-22_21h53.41.858,GoFitts,2022.1.4,Win32,59.64451867,,,,
,,,,"[108.7337235333145,-120.76103414007653]","[-131.46526158592894,95.51510349752691]",60.5,325,0,"[89.888916015625,93.4444580078125,97,98.77777099609375,98.77777099609375,98.77777099609375,98.77777099609375,99.66680908203125,99.66680908203125,101.4444580078125,101.4444580078125,102.33331298828125,102.33331298828125,102.33331298828125,102.33331298828125,95.2222900390625,81.88897705078125,57,17,-25.66668701171875,-63,-85.22222900390625,-95.88885498046875,-99.4444580078125,-103.88885498046875,-105.66668701171875,-107.4444580078125,-110.111083984375,-112.77777099609375,-115.4444580078125,-120.77777099609375]","[-103.11111450195312,-113.77777099609375,-120.888916015625,-126.22222900390625,-127.11114501953125,-127.11114501953125,-127.11114501953125,-127.11114501953125,-127.11114501953125,-128,-128,-128,-128,-128,-126.22222900390625,-106.66665649414062,-86.22222900390625,-64,-40,-11.555572509765625,12.444427490234375,27.5555419921875,36.444427490234375,41.77777099609375,46.22222900390625,50.666656494140625,53.333343505859375,56.88885498046875,61.33331298828125,66.66665649414062,78.22222900390625]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0.0005999999996273431,0.016199999999255255,0.03279999999888261,0.04899999999999949,0.06589999999850882,0.0821999999992542,0.09869999999925483,0.11549999999999905,0.13189999999850954,0.1485000000000003,0.16509999999962766,0.18179999999888175,0.19849999999999923,0.21499999999999986,0.23259999999962666,0.24919999999925402,0.2657999999988814,0.282299999998882,0.29919999999925473,0.31539999999851,0.3322999999988827,0.34869999999925483,0.3653999999985089,0.38229999999888165,0.39899999999999913,0.41539999999850963,0.43189999999851025,0.44859999999962774,0.46529999999888183,0.4822999999988813,0.4988999999985104]",,8,0,8,0,1,,2022-09-22_21h53.41.858,GoFitts,2022.1.4,Win32,59.64451867,,,,
,,,,"[-131.46526158592894,95.51510349752691]","[148.45113686692267,-66.09470449981752]",60.5,325,0,"[-120.77777099609375,-121.66668701171875,-122.55548095703125,-122.55548095703125,-122.55548095703125,-123.4444580078125,-124.33331298828125,-125.22222900390625,-125.22222900390625,-125.22222900390625,-125.22222900390625,-125.22222900390625,-125.22222900390625,-125.22222900390625,-125.22222900390625,-125.22222900390625,-121.66668701171875,-112.77777099609375,-95.88885498046875,-71.88885498046875,-43.4444580078125,-11.44439697265625,14.33331298828125,45.4444580078125,51.66668701171875,57.888916015625,61.4444580078125,69.4444580078125,78.33331298828125,84.5555419921875,90.77783203125,95.2222900390625,99.66680908203125,105,111.22222900390625,114.77777099609375,117.44451904296875,122.77777099609375,136.11114501953125]","[78.22222900390625,80.88888549804688,81.77777099609375,81.77777099609375,82.66665649414062,84.44442749023438,87.99996948242188,92.44442749023438,92.44442749023438,92.44442749023438,92.44442749023438,92.44442749023438,92.44442749023438,92.44442749023438,92.44442749023438,92.44442749023438,93.33334350585938,92.44442749023438,85.33334350585938,72.88888549804688,56,36.444427490234375,23.111114501953125,7.999969482421875,6.22222900390625,3.555511474609375,0,-6.22222900390625,-14.222259521484375,-21.333343505859375,-27.555572509765625,-32.000030517578125,-35.555572509765625,-40,-42.666656494140625,-44.4444580078125,-44.4444580078125,-46.22222900390625,-53.333343505859375]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0.0004000000003721027,0.01649999999999885,0.03259999999962737,0.048700000001117516,0.06620000000111759,0.08340000000037229,0.09909999999962693,0.11559999999962756,0.13190000000037294,0.14809999999962642,0.16509999999962766,0.18200000000000038,0.19809999999962713,0.21330000000074456,0.23190000000037259,0.2483000000007447,0.2654999999999994,0.2823000000007454,0.29880000000074425,0.3154000000003716,0.3325999999996263,0.3490000000000002,0.36549999999999905,0.3825000000000003,0.39870000000111716,0.41540000000037125,0.4320999999996271,0.44859999999962774,0.4652000000011167,0.4823000000007447,0.4988000000007453,0.5152000000011174,0.5319000000003715,0.5487000000011175,0.5649999999999995,0.5818000000007455,0.598800000000745,0.6153000000007438,0.6320999999996264]",,9,0,9,0,1,,2022-09-22_21h53.41.858,GoFitts,2022.1.4,Win32,59.64451867,,,,
