指定代號,date,expName,psychopyVersion,OS,frameRate,from,to,w,a,id,sequence_loop.thisN,enter_time,leave_time,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,trial_loop.ran,sequence_loop.thisRepN,sequence_loop.thisTrialN,sequence_loop.thisIndex,sequence_loop.ran
0802s0001-1,2025-06-19_11h27.01.463,GoFitts,2023.2.3,Win32,61.34969325,,,,,,,,,,,,,,,,,,,,,,,
0802s0001-1,2025-06-19_11h27.01.463,GoFitts,2023.2.3,Win32,61.34969325,,,,,,,,,,,,,,,,,,,,,,,
