指定代號,date,expName,psychopyVersion,OS,frameRate,retry_testing.thisRepN,retry_testing.thisTrialN,retry_testing.thisN,retry_testing.thisIndex,retry_testing.ran,from,to,w,a,id,sequence_loop.thisN,enter_time,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,trial_loop.ran,leave_time,sequence_loop.thisRepN,sequence_loop.thisTrialN,sequence_loop.thisIndex,sequence_loop.ran
K000000000-1,2025-06-18_09h26.34.444,GoFitts,2023.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K000000000-1,2025-06-18_09h26.34.444,GoFitts,2023.2.3,Win32,59.88023952,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,
K000000000-1,2025-06-18_09h26.34.444,GoFitts,2023.2.3,Win32,59.88023952,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,
K000000000-1,2025-06-18_09h26.34.444,GoFitts,2023.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K000000000-1,2025-06-18_09h26.34.444,GoFitts,2023.2.3,Win32,59.88023952,,,,,,"[57,-25]","[-126.57637708576777,-219.23671615054656]",26,506.3055083,5.32,0,1.0147,"[57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,62,100,139,192,218,243,243,243,237,207,148,46,-55,-167,-271,-340,-356,-363,-363,-358,-341,-332,-327,-309,-286,-240,-202,-177,-167,-163,-163,-167,-174,-179,-181,-181,-179,-170,-165,-164,-164,-159,-153,-143,-135,-130,-128,-128,-128,-128,-128,-128,-128,-128,-128,-128,-128,-126,-124,-123,-123,-123,-123,-123,-123,-123,-124,-124,-124,-124,-124,-124,-124,-124,-124,-124,-124,-124,-124,-124,-124,-124,-124,-124,-124,-124,-124,-124,-124]","[-25,-25,-25,-25,-25,-25,-25,-25,-25,-25,-25,-25,-25,-25,-25,-25,-25,-19,1,25,59,78,104,106,107,107,92,52,-26,-105,-191,-273,-325,-342,-353,-355,-355,-354,-352,-351,-346,-339,-324,-305,-290,-278,-267,-263,-256,-250,-246,-244,-242,-238,-234,-232,-232,-232,-231,-230,-229,-228,-226,-225,-225,-225,-225,-225,-225,-225,-225,-225,-225,-225,-224,-224,-224,-224,-224,-224,-224,-223,-222,-222,-222,-222,-222,-222,-222,-222,-222,-222,-222,-222,-222,-222,-222,-222,-222,-222,-222,-222,-222,-222,-222,-222]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0.0003000000119186552,0.014899999976151435,0.03130000001192457,0.04780000001191809,0.06449999999999534,0.08100000000000307,0.09799999999999898,0.1144999999999925,0.13100000000000023,0.14769999998807748,0.16450000000000387,0.18109999996423198,0.19789999997615837,0.2143999999761519,0.231399999976162,0.24780000001192093,0.26439999997614905,0.2809999999999917,0.29769999998808316,0.31449999999999534,0.33100000000000307,0.3476999999880803,0.3643999999761576,0.3813999999761535,0.39819999998807987,0.41450000000000387,0.431099999964232,0.44780000001192377,0.4643000000119173,0.4811999999880783,0.4978999999761555,0.5144999999999982,0.5310999999642405,0.5476999999880832,0.5645999999642299,0.5810000000000031,0.5978000000119152,0.6143999999761576,0.6311999999880697,0.6478000000119124,0.6643999999761547,0.681300000011916,0.6976999999880746,0.714500000000001,0.7310999999642291,0.7476999999880718,0.7648999999761514,0.7813000000119246,0.7978999999761527,0.8143000000119116,0.8310999999642377,0.8478999999761498,0.864300000011923,0.8813000000119189,0.8976999999880775,0.9145000000000039,0.9311999999880811,0.9478000000119238,0.9643000000119173,0.9811999999880783,0.9976999999880718,1.014699999988082,1.0310999999642405,1.0478999999761527,1.0643000000119116,1.080899999976154,1.0978999999761498,1.1148000000119254,1.1311999999880697,1.1479999999999961,1.1645999999642385,1.1814999999999998,1.1978999999761584,1.2145999999642356,1.2311999999880783,1.2478999999761555,1.2644999999999982,1.2809999999999917,1.2980000000000018,1.31459999996423,1.3310999999642377,1.3476999999880803,1.3644999999999925,1.3813999999761535,1.3978000000119124,1.4145000000000039,1.431300000011916,1.4478999999761584,1.464500000000001,1.4810999999642291,1.4980000000000047,1.514699999988082,1.5313000000119246,1.5478999999761527,1.56459999996423,1.5813000000119217,1.5976999999880803,1.6143999999761576,1.6313999999761535,1.6478999999761612,1.6645000000000039,1.6811999999880811,1.6979999999999933,1.7145999999642356,1.7309999999999945,1.7480999999642393]",0,0,0,0,1,,,,,
K000000000-1,2025-06-18_09h26.34.444,GoFitts,2023.2.3,Win32,59.88023952,,,,,,"[-126.57637708576777,-219.23671615054656]","[78.22850321182779,240.7625764729038]",26,506.3055083,5.32,0,0.9657,"[-124,-124,-124,-124,-124,-124,-124,-124,-124,-124,-124,-124,-124,-124,-124,-124,-124,-124,-117,-78,-42,-23,-6,1,7,14,21,31,37,43,49,51,52,52,52,52,52,52,62,71,78,81,83,83,85,87,89,92,94,96,96,96,96,96,96,96,94,88,85,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83]","[-222,-222,-222,-222,-222,-222,-222,-222,-222,-222,-222,-222,-222,-222,-222,-222,-222,-222,-208,-162,-98,-28,68,151,231,278,303,323,330,335,340,341,342,342,342,342,342,336,300,267,237,225,221,221,220,220,220,220,220,220,220,220,220,220,220,221,222,227,230,233,237,238,240,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0.015900000035756534,0.032400000035764265,0.04899999999999238,0.06569999998806964,0.08210000002384277,0.09860000002383629,0.11549999999999727,0.13230000001190945,0.1489000000357521,0.16569999998807816,0.18240000003575574,0.19880000001191434,0.21580000001191024,0.2324000000357529,0.24899999999999523,0.2656999999880725,0.28230000001191513,0.2991000000238415,0.3154000000357513,0.33210000002384277,0.34880000001192,0.365699999988081,0.3821999999880745,0.3988000000119172,0.41560000002384356,0.4323000000119208,0.44880000001191434,0.4656000000238407,0.48219999998806884,0.4989000000357606,0.5154999999999887,0.5321999999880802,0.5488000000119229,0.5656999999880696,0.5824000000357614,0.5989999999999895,0.6154999999999973,0.6323000000119094,0.6489000000357521,0.6656999999880782,0.6824999999999903,0.6989999999999981,0.7156000000238407,0.732300000011918,0.7489000000357606,0.7659000000357565,0.7824999999999989,0.7991999999880761,0.8156999999880696,0.832499999999996,0.8489999999999895,0.8658000000119159,0.8823000000119094,0.8990000000000009,0.9156999999880782,0.9324000000357557,0.9488000000119143,0.9656999999880753,0.9821999999880688,0.9988000000119115,1.0158000000119216,1.0324000000357643,1.0489000000357578,1.065600000023835,1.0824000000357614,1.0991000000238387,1.115800000011916,1.1324000000357586,1.1491000000238358,1.165800000011913,1.1821999999880717,1.1989000000357635,1.2156999999880753,1.2321999999880688,1.2489999999999952,1.2658000000119216,1.2824000000357643,1.2989000000357578,1.315600000023835,1.3321999999880774,1.348900000035755,1.365699999988081,1.3821999999880745,1.399000000000001,1.4156999999880782,1.4324999999999903,1.448999999999998,1.4656000000238407,1.4825000000000017,1.4991000000238444,1.5156999999880725,1.5324000000357643,1.5489000000357578,1.5658000000119188,1.5821999999880774,1.5989999999999895,1.615699999988081,1.6321999999880745,1.649000000000001,1.6656999999880782,1.6831000000238419]",1,0,1,0,1,0.299,,,,
K000000000-1,2025-06-18_09h26.34.444,GoFitts,2023.2.3,Win32,59.88023952,,,,,,"[78.22850321182779,240.7625764729038]","[-26.461668365524833,-251.76595689637386]",26,506.3055083,5.32,0,1.0812,"[83,83,83,83,83,78,75,75,74,74,74,74,74,74,74,74,74,74,74,70,64,54,42,34,25,9,-2,-19,-26,-33,-28,-21,-9,-1,1,2,2,2,0,-9,-17,-19,-19,-19,-19,-18,-18,-18,-18,-17,-16,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-16,-17,-19,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21]","[241,241,241,241,241,240,239,238,238,237,237,237,237,237,237,233,221,201,180,153,129,84,43,21,0,-30,-51,-97,-123,-200,-249,-264,-279,-284,-285,-285,-285,-285,-286,-291,-294,-294,-294,-294,-291,-280,-267,-255,-250,-248,-245,-245,-245,-245,-245,-245,-244,-244,-244,-244,-244,-244,-244,-244,-244,-244,-244,-244,-244,-244,-244,-244,-244,-244,-244,-244,-244,-244,-244,-244,-244,-244,-244,-244,-244,-244,-244,-244,-244,-244,-244,-244,-244,-244,-244,-244,-244,-244,-244,-244,-244,-244,-244,-244,-244,-244,-244,-244,-244]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0.015699999988086688,0.031800000011926954,0.04809999996423642,0.0648000000119282,0.08169999998807498,0.09809999996423358,0.11469999998807623,0.1313999999761677,0.148300000011929,0.16480000001192252,0.18139999997616485,0.19789999997615837,0.21469999998808476,0.231399999976162,0.24809999996423926,0.2651999999880843,0.28130000001192457,0.2980000000000018,0.31469999998807907,0.3313000000119217,0.34789999997616405,0.36469999998807623,0.3813000000119189,0.39799999999999613,0.4148000000119225,0.43139999997616485,0.4480000000000075,0.4648000000119197,0.481399999976162,0.4983999999761579,0.5155999999642376,0.5318999999761616,0.5480000000000018,0.5648000000119282,0.58159999996424,0.5981999999880827,0.6146999999880762,0.6313999999761677,0.6483999999761636,0.6643000000119201,0.6810999999642462,0.698199999988077,0.7143999999761661,0.7310000000000088,0.7475999999642369,0.7641999999880795,0.7811999999880754,0.7978999999761669,0.8141999999880767,0.8308999999761539,0.847899999976164,0.8643999999761576,0.8810999999642348,0.8978999999761612,0.9143999999761547,0.9310999999642462,0.9475999999642397,0.9643000000119173,0.9810999999642434,0.9978000000119209,1.0143999999761633,1.0308999999761568,1.047800000011918,1.0643000000119258,1.0811999999880868,1.0974999999999966,1.114199999988088,1.131199999988084,1.1478000000119266,1.1643000000119201,1.1810999999642462,1.1976999999880746,1.214500000000001,1.2310000000000088,1.2475000000000023,1.2643000000119287,1.2808999999761568,1.297800000011918,1.3143999999761604,1.3310999999642377,1.347899999976164,1.364099999964239,1.3808000000119165,1.3978000000119266,1.4143999999761547,1.4308999999761625,1.4475000000000051,1.4640999999642332,1.4808999999761596,1.4975999999642369,1.5144999999999982,1.5310999999642405,1.547800000011918,1.5643999999761604,1.581000000000003,1.597899999976164,1.6143999999761576,1.6313000000119189,1.6476999999880775,1.6643999999761547,1.6808999999761625,1.6975000000000051,1.7140999999642332,1.730800000011925,1.7480000000000047,1.7643999999761633,1.781000000000006,1.7981999999880856]",2,0,2,0,1,0.2651,,,,
K000000000-1,2025-06-18_09h26.34.444,GoFitts,2023.2.3,Win32,59.88023952,,,,,,"[-26.461668365524833,-251.76595689637386]","[-26.461668365524602,251.7659568963739]",26,506.3055083,5.32,0,0.8493,"[-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-20,-12,0,10,16,16,15,11,9,8,8,8,8,7,5,-3,-16,-24,-40,-48,-50,-50,-50,-50,-50,-47,-46,-46,-46,-45,-44,-42,-42,-39,-38,-36,-36,-36,-36,-36,-35,-35,-35,-34,-34,-34,-34,-34,-34,-34,-34,-34,-34,-34,-34,-34,-34,-34,-34,-34,-34,-34,-34,-34,-34,-34,-34,-34,-34,-34,-34,-34,-34,-34,-34,-34,-34,-34]","[-244,-244,-244,-244,-244,-244,-244,-244,-244,-244,-244,-244,-244,-244,-244,-244,-244,-238,-204,-138,-21,70,127,188,223,239,245,245,245,245,245,245,245,245,243,240,237,236,236,236,236,236,240,241,241,241,242,243,246,246,248,248,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0.00010000002384913387,0.01580000001192161,0.03160000002384322,0.048300000011920474,0.0648000000119282,0.08150000000000546,0.09799999999999898,0.11499999999999488,0.13160000002383754,0.14840000003576392,0.16500000000000625,0.18140000003576517,0.1980000000000075,0.21480000001191968,0.23169999998808066,0.24830000001192332,0.26490000003576597,0.28180000001192695,0.29819999998808555,0.31510000002384686,0.3316000000238404,0.34830000001191763,0.365100000023844,0.38160000002383754,0.39910000002383583,0.4151999999880758,0.43190000003576756,0.4484999999999957,0.46519999998807293,0.4819999999999993,0.49869999998807657,0.5153000000119192,0.5319999999999965,0.5494999999999948,0.5659000000357679,0.5823000000119265,0.5990000000000038,0.6158000000119159,0.632000000000005,0.6486000000238477,0.6651999999880758,0.6819000000357676,0.6986000000238448,0.715400000035757,0.7316999999880807,0.7486999999880766,0.7653000000119192,0.7819000000357619,0.7988000000119229,0.8151000000238469,0.8320000000000078,0.8493000000119224,0.8658000000119159,0.8816999999880863,0.8984999999999985,0.9151999999880758,0.9320000000000022,0.9486000000238448,0.9651999999880729,0.9819999999999993,0.998600000023842,1.0150000000000006,1.031800000011927,1.0486000000238391,1.0653000000119164,1.081900000035759,1.0986000000238363,1.1153000000119278,1.132000000000005,1.1486000000238477,1.1651999999880758,1.1818000000119184,1.1986999999880794,1.215199999988073,1.2318000000119156,1.248500000000007,1.2651000000238497,1.2819000000357619,1.2986000000238391,1.3151999999880815,1.3318000000119241,1.3485000000000014,1.3651999999880786,1.382000000000005,1.3986999999880823,1.4151999999880758,1.4319000000357676,1.4486999999880794,1.4651000000238383,1.4816999999880807,1.4986999999880766,1.5151000000238497,1.5319999999999965,1.5486000000238391,1.5653000000119164]",3,0,3,0,1,0.2817,,,,
K000000000-1,2025-06-18_09h26.34.444,GoFitts,2023.2.3,Win32,59.88023952,,,,,,"[-26.461668365524602,251.7659568963739]","[78.22850321182773,-240.76257647290382]",26,506.3055083,5.32,0,0.6495,"[-34,-34,-34,-34,-34,-34,-34,-34,-34,-33,-32,-30,-30,-30,-28,-22,-14,-3,3,16,28,38,45,51,55,59,62,64,64,65,65,65,65,66,68,70,70,71,72,72,72,72,72,72,72,72,72,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73]","[249,249,249,249,249,249,249,249,249,243,233,227,219,214,202,179,151,108,88,41,4,-28,-49,-69,-83,-96,-110,-132,-153,-187,-192,-193,-195,-198,-203,-209,-214,-225,-229,-232,-236,-237,-237,-237,-237,-237,-237,-237,-237,-237,-237,-237,-237,-237,-237,-237,-237,-237,-237,-237,-237,-237,-237,-237,-237,-237,-237,-237,-237,-237,-237,-237,-237,-237,-237,-237,-237,-237,-237,-237,-237,-237,-237,-237]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0.01609999996423994,0.03249999999999886,0.049199999988090326,0.06580000001193298,0.08250000000001023,0.09889999997616883,0.11619999998808339,0.13269999998809112,0.1495999999642379,0.16669999998808294,0.18389999997616258,0.20069999998808896,0.21699999999999875,0.2330000000000041,0.24950000000001182,0.2661999999880891,0.28280000001193173,0.29889999997615746,0.3155000000000001,0.3323999999761611,0.3493000000119224,0.3655999999642461,0.38219999998808873,0.398899999976166,0.41550000000000864,0.4321999999880859,0.44889999997616314,0.4655000000000058,0.48219999998808305,0.4993000000119281,0.5155999999642376,0.5323000000119293,0.5490000000000066,0.5655999999642489,0.5823999999761611,0.5988999999761688,0.6155000000000115,0.6323999999761583,0.6495000000000033,0.6655999999642432,0.6825000000000045,0.6990000000000123,0.7155999999642404,0.7323000000119322,0.7490000000000094,0.7656999999880867,0.7821999999880802,0.7986999999880879,0.8155999999642489,0.8321999999880774,0.8490000000000038,0.865699999988081,0.8820999999642396,0.8988000000119314,0.9156999999880782,0.9321999999880859,0.9488000000119285,0.9655999999642404,0.9826999999880854,0.9993000000119281,1.015500000000003,1.0321999999880802,1.0485999999642388,1.0653000000119306,1.0820000000000078,1.098599999964236,1.1153000000119278,1.1325000000000074,1.1491999999880846,1.1663000000119297,1.1826999999880883,1.2000999999642374,1.2160999999642428,1.233599999964241,1.2493999999761627,1.266300000011924,1.2828999999761663,1.2993999999761598,1.3163000000119212,1.3331999999880821,1.349399999976157,1.3659999999999997,1.3833000000119284]",4,0,4,0,1,0.1666,,,,
K000000000-1,2025-06-18_09h26.34.444,GoFitts,2023.2.3,Win32,59.88023952,,,,,,"[78.22850321182773,-240.76257647290382]","[-126.5763770857676,219.2367161505466]",26,506.3055083,5.32,0,0.6313,"[73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,65,57,15,-65,-107,-129,-138,-143,-145,-145,-146,-146,-146,-147,-147,-147,-147,-147,-144,-140,-134,-126,-118,-115,-115,-115,-115,-115,-115,-115,-116,-116,-117,-117,-119,-119,-120,-120,-121,-122,-123,-123,-123,-123,-123,-123,-123,-123,-123,-123,-123,-123,-123,-123,-123,-123,-123,-123,-123,-123,-123,-123,-123,-123,-123]","[-237,-237,-237,-237,-237,-237,-237,-237,-237,-237,-237,-237,-237,-237,-237,-237,-237,-236,-218,-198,-111,46,128,174,198,214,221,222,223,224,225,226,226,227,227,227,228,228,228,224,219,217,217,217,217,217,217,217,217,217,217,217,217,217,217,218,218,218,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0.015300000011919224,0.03160000002384322,0.048200000047685876,0.06490000003576313,0.08160000002384038,0.09790000003576438,0.1149000000357745,0.13180000001192127,0.14840000003576392,0.16470000004768792,0.18170000004768383,0.19820000004769156,0.2149000000357688,0.23160000002384606,0.24800000000000466,0.26490000003576597,0.2820000000000107,0.2985000000000042,0.31620000004768656,0.3317000000476895,0.34780000001192946,0.3650000000000091,0.38180000001192127,0.3987000000476826,0.4151000000238412,0.4311000000238465,0.4479000000357729,0.4644000000357664,0.48100000000000875,0.4976000000238514,0.5143000000119287,0.5308000000119222,0.5476000000238486,0.564400000035775,0.5810000000000031,0.5976000000238457,0.6144000000357721,0.6313000000119331,0.6479000000357615,0.6648000000119225,0.6812000000476957,0.6977000000476892,0.7144000000357664,0.7310000000000088,0.7477000000476863,0.7644000000357636,0.7809000000357713,0.7976000000238486,0.8143000000119258,0.8310000000000031,0.8476000000238457,0.8642000000476884,0.8809000000357656,0.8976000000238429,0.9142000000476855,0.9309000000357628,0.9477000000476892,0.9643000000119315,0.9810000000000088,0.9977000000476863,1.0144000000357636,1.031000000000006,1.0478000000119323,1.0642000000476912,1.0811000000238522,1.0977000000476949,1.114400000035772,1.1310000000000002,1.147700000047692,1.1644000000357693,1.1808000000119279,1.1977000000476892,1.2143000000119315,1.2310000000000088,1.2477000000476863,1.2644000000357636,1.2809000000357713,1.2976000000238486,1.3142000000476912,1.3311000000238522,1.3476000000238457,1.3641000000238535]",5,0,5,0,1,0.2985,,,,
